,Account,Compound Score,Date,Negative Score,Neutral Score,Positive Score,Tweet Text
159,@CBSNews,-0.8126,11/25/2017,0.346,0.654,0.0,Police have arrested a youth pastor in Virginia for allegedly murdering his family on Thanksgiving night:… https://t.co/QNIFlzWRZU
160,@CBSNews,0.0,11/25/2017,0.0,1.0,0.0,“At first everything seemed fine.” https://t.co/TECJi6IqNl https://t.co/SDoctqkxT8
161,@CBSNews,-0.6908,11/25/2017,0.183,0.817,0.0,"There are new questions about the murder of a Baltimore detective, who was gunned down one day before he was set to… https://t.co/TH9ZZnxmLu"
162,@CBSNews,-0.296,11/25/2017,0.095,0.905,0.0,"R.E.M.'s ""Automatic for the People,"" released 25 years ago last month, is considered by many critics to be one of t… https://t.co/UC3yY78s7S"
163,@CBSNews,-0.7184,11/25/2017,0.261,0.739,0.0,Time magazine is disputing President Trump's claim of how he rejected being named its “Person of the Year”… https://t.co/vr5j0wv73g
164,@CBSNews,-0.7717,11/25/2017,0.307,0.58,0.113,A man who survived mass shooting that killed 58 concert-goers in Las Vegas has been killed in a hit-and-run in sout… https://t.co/qI3EBOuxAQ
165,@CBSNews,0.0,11/25/2017,0.0,1.0,0.0,Who's the boss come Monday at the Consumer Financial Protection Bureau?https://t.co/a6UjodAw7X https://t.co/T22fuz4qyU
166,@CBSNews,-0.7667,11/25/2017,0.273,0.727,0.0,"Could a constitutional right for Brazilian citizens get in the way of this murder
case? #48hours… https://t.co/k3UVejuBpl"
167,@CBSNews,0.0,11/25/2017,0.0,1.0,0.0,President Trump has said he wants to tackle reforming the welfare system -- but what kind of reform does he want?… https://t.co/y5ZsxsKXGY
168,@CBSNews,0.3182,11/25/2017,0.0,0.892,0.108,"By close of Thanksgiving night, consumers had spent $2.87B online, an 18% increase from year prior; why retailers h… https://t.co/JWE3sHdVQT"
169,@CBSNews,-0.8591,11/25/2017,0.388,0.612,0.0,A 24-year-old Minnesota man has been sentenced to two months in jail for torturing and killing three cats:… https://t.co/Gn40BYE4Tk
170,@CBSNews,-0.7579,11/25/2017,0.405,0.595,0.0,"A spear fisherman was seriously injured in a shark attack in California, authorities say: https://t.co/eG7pPa7E4J https://t.co/4KI0bQfu3F"
171,@CBSNews,0.0,11/25/2017,0.0,1.0,0.0,"""She's Gotta Have It"" marked the feature length debut of director Spike Lee. Now, more than 30 years later, a new N… https://t.co/ucNPJ70x9q"
172,@CBSNews,0.2023,11/25/2017,0.0,0.893,0.107,"A charred body was found on top of a commuter train at a station in Philadelphia, authorities say:… https://t.co/pkLSzHQtms"
173,@CBSNews,-0.296,11/25/2017,0.099,0.901,0.0,Missing teen caught trying to enter Canada after body believed to be his grandmother's was found in her son's backy… https://t.co/iUjKyCdebz
174,@CBSNews,-0.8225,11/25/2017,0.336,0.664,0.0,A man facing charges after a sheriff's deputy in Michigan was struck and killed by his car told authorities that he… https://t.co/KDg87jTn34
175,@CBSNews,-0.3182,11/25/2017,0.099,0.901,0.0,More than 400 college professors from all over the world have written an open letter calling for a boycott of the U… https://t.co/ERfvQcDd1o
176,@CBSNews,0.0,11/25/2017,0.0,1.0,0.0,"""She is a young adult and private citizen, and should be OFF limits."" Ivanka Trump and Chelsea Clinton are defendin… https://t.co/dQhA2MXfXZ"
177,@CBSNews,0.0,11/25/2017,0.0,1.0,0.0,"Spending. Immigration. Taxes. Congress has a daunting December to-do list:
https://t.co/zfazwoOKf6 https://t.co/SH1fD7o67Z"
178,@CBSNews,-0.5267,11/25/2017,0.167,0.833,0.0,The Trump administration is backtracking on its threat to order the Palestinians' office in Washington to close:… https://t.co/5qnaUzPoop
179,@CBSNews,-0.296,11/25/2017,0.115,0.885,0.0,U.S. Navy identified 3 airmen still missing 3 days after transport plane carrying them to an aircraft carrier went… https://t.co/YP20G5kKgZ
180,@CBSNews,-0.0258,11/25/2017,0.091,0.822,0.087,"The director of the Consumer Financial Protection Bureau resigned and named his own successor, leading to an open c… https://t.co/faLABhscEM"
181,@CBSNews,0.3818,11/25/2017,0.0,0.816,0.184,"Black Friday sales pushed Amazon founder Jeff Bezos to a net worth of $100 billion, according to Bloomberg:… https://t.co/n3KS8T8ifz"
182,@CBSNews,-0.7184,11/25/2017,0.261,0.739,0.0,Time magazine is disputing President Trump's account of how he rejected the magazine's request for an interview and… https://t.co/T8cZSuNY8R
183,@CBSNews,-0.8225,11/25/2017,0.297,0.703,0.0,"More than 300 people, including 27 children, were killed in an attack on a mosque in Egypt's Sinai Peninsula, offic… https://t.co/i1XOZNdrux"
184,@CBSNews,-0.4588,11/25/2017,0.218,0.669,0.113,A Chicago surgeon puts his life on the line to save victims of Syria's civil war in hospitals targeted by the regim… https://t.co/rYxg0TysnN
185,@CBSNews,-0.765,11/25/2017,0.329,0.602,0.069,Authorities shoot and kill tiger on streets of Paris after it escapes from circus https://t.co/XAN3s3i1Yx https://t.co/jsMn0BJt29
186,@CBSNews,-0.4767,11/25/2017,0.248,0.637,0.115,"Top U.S. commander in Afghanistan says war ""still in a stalemate"" https://t.co/lzz72eAtq9 https://t.co/h1dB4a2nUz"
187,@CBSNews,-0.8689,11/25/2017,0.521,0.479,0.0,Relatives of sailors missing on Argentina submarine heartbroken and angry https://t.co/Lmq8aXpTN2 https://t.co/RenYhwIOJv
188,@CBSNews,0.0,11/25/2017,0.0,1.0,0.0,"""Despacito"" made this neighborhood famous, but Hurricane Maria ravaged it https://t.co/cghnvdKwVc https://t.co/iXvAyMKThP"
189,@CBSNews,-0.296,11/25/2017,0.278,0.568,0.153,"Texas special education director fired over past ""serious allegations,"" agency says https://t.co/l3W0jK3z2B https://t.co/wy4xXCsfLz"
190,@CBSNews,-0.6369,11/25/2017,0.259,0.741,0.0,A celebrity social media campaign is highlighting issues of sex trafficking abuse https://t.co/yuREnvEFQn https://t.co/OjjKaGW6hg
191,@CBSNews,-0.7906,11/25/2017,0.412,0.588,0.0,"Two killed in head-on collision during police chase, officials say https://t.co/ZMEUZ4hlaP https://t.co/Jabl0fJEAX"
192,@CBSNews,-0.7783,11/25/2017,0.362,0.638,0.0,South Dakota state representative and his brother-in-law drown in apparent kayaking accident https://t.co/vbU5cQr88D https://t.co/awlpIQVmqO
193,@CBSNews,-0.4019,11/25/2017,0.245,0.629,0.126,Top female lobbyist offers her take on sexual harassment https://t.co/Scyl9bpRre https://t.co/BkkBbPXkeK
194,@CBSNews,-0.2263,11/25/2017,0.208,0.636,0.156,"From ""Star Wars"" to ""The Post,"" movies for the holiday season https://t.co/rfYehQxj7c https://t.co/0BveoCpoPF"
195,@CBSNews,-0.2263,11/25/2017,0.174,0.826,0.0,"Japan protests San Francisco's ""sex slave"" statue decision https://t.co/Q8SGF4yEzt https://t.co/bDmiuD4F8Q"
196,@CBSNews,-0.0516,11/25/2017,0.151,0.714,0.135,Amazon workers stage Black Friday protests for wage hikes https://t.co/oU4ufe1tZX https://t.co/PpyyU2GbHh
197,@CBSNews,-0.5719,11/25/2017,0.291,0.709,0.0,Golf club-wielding vandals sought in destruction of 50 mailboxes https://t.co/Dmq7CMS3Ol
198,@CBSNews,-0.5106,11/25/2017,0.216,0.784,0.0,Why federal database is failing to bar some from buying guns https://t.co/mhUdlGAEEt https://t.co/YMxOpbuKKh
199,@CBSNews,0.0,11/25/2017,0.0,1.0,0.0,"From the LBD to the hoodie, a new MoMA fashion exhibit explores a century of transformative pieces… https://t.co/M6X6ShJSzh"
200,@CNN,-0.4939,11/26/2017,0.144,0.856,0.0,"Atlanta's Georgia Dome was destroyed last week in a scheduled implosion with 4,300 pounds of TNT, after 25 years of… https://t.co/n4ljXiLgcF"
201,@CNN,0.0258,11/26/2017,0.179,0.636,0.185,Maternal mortality is the shame of US health care (via @CNNOpinion) https://t.co/PTqIQmrNLk https://t.co/w4b0JYyTjv
202,@CNN,-0.128,11/26/2017,0.081,0.919,0.0,"Artificial light is contributing to an alarming rise in light pollution worldwide, affecting our ecosystem and slee… https://t.co/0StQnePeiW"
203,@CNN,0.3612,11/26/2017,0.0,0.889,0.111,"LaVar Ball on why he didn’t thank President Trump for bringing his son, LiAngelo Ball, home: “I would’ve said thank… https://t.co/9gf9A7u7lh"
204,@CNN,0.0,11/26/2017,0.0,1.0,0.0,"New portraits of Queen Elizabeth II and her husband, the Duke of Edinburgh Prince Philip, were released to celebrat… https://t.co/6lATp3kS2o"
205,@CNN,0.4549,11/26/2017,0.0,0.881,0.119,"LaVar Ball, father of UCLA player LiAngelo Ball, says he did more to help his son than President Trump: ""I helped m… https://t.co/qRmPM6RfGj"
206,@CNN,0.2732,11/26/2017,0.0,0.89,0.11,A surprise bidder has proposed to buy the Weinstein Co. and turn it into a studio run by women… https://t.co/2ERkSylEio
207,@CNN,0.4019,11/26/2017,0.0,0.876,0.124,"""If you help, you shouldn't have to say anything,"" says LaVar Ball, father of UCLA basketball player LiAngelo Ball,… https://t.co/32OmL0HN63"
208,@CNN,0.4019,11/26/2017,0.0,0.863,0.137,"Dozens of women who've worked on ""Saturday Night Live"" have signed a statement in support of Al Franken… https://t.co/FBMF9Wgw8y"
209,@CNN,-0.7906,11/26/2017,0.241,0.759,0.0,"""He fessed up to it. ... It was an impulse thing, a bad decision at a bad time, that's all it was for an 18-year-ol… https://t.co/99q74Lng7D"
210,@CNN,0.34,11/26/2017,0.0,0.888,0.112,"France has requested an ""urgent"" meeting of the UN Security Council concerning the sale of migrants at slave auctio… https://t.co/ihy8qNV7St"
211,@CNN,0.4019,11/26/2017,0.0,0.876,0.124,"LaVar Ball, the father of a basketball player freed from China, talks with @ChrisCuomo: ""I don't have to go around… https://t.co/t16b6Zg4ZL"
212,@CNN,0.0,11/26/2017,0.0,1.0,0.0,Here is a look at all the known contacts between Trump associates and Russians https://t.co/B0Z8lJRQp0 https://t.co/kKSWMYvur4
213,@CNN,0.0,11/26/2017,0.0,1.0,0.0,"""Get out of the way, bus!"" This cameraman was about to film Atlanta's planned implosion of the Georgia Dome, only t… https://t.co/J3Au8VmBuT"
214,@CNN,0.1134,11/26/2017,0.084,0.816,0.1,70% of Americans -- with majorities in both parties -- think that Puerto Rico is not getting the help it needs in t… https://t.co/O3HqHnA0Pi
215,@CNN,-0.128,11/26/2017,0.086,0.914,0.0,The Bureau of Prisons is cutting off funding for 16 halfway houses throughout the country https://t.co/YLGtKfQ2ES https://t.co/oBun0VkoJL
216,@CNN,0.0,11/26/2017,0.122,0.756,0.122,"Bottles from Trump Winery have been on sale at a gift shop in Shenandoah National Park, drawing criticism from ethi… https://t.co/oZ0il456dq"
217,@CNN,0.0,11/26/2017,0.0,1.0,0.0,This slow-motion drone footage shows the Georgia Dome in Atlanta being imploded https://t.co/AO2hbqCMOk https://t.co/0nlMTWzUaD
218,@CNN,-0.8225,11/26/2017,0.364,0.636,0.0,"A former ethics director says he filed an official complaint against Kellyanne Conway, arguing she violated the Hat… https://t.co/E52AGH7TZq"
219,@CNN,-0.7003,11/26/2017,0.254,0.746,0.0,"Florida boy wanted by police in connection with suspected death of his grandmother is caught near Canadian border,… https://t.co/WPGWpJdvPJ"
220,@CNN,-0.4939,11/26/2017,0.144,0.856,0.0,"Atlanta's Georgia Dome was destroyed last week in a scheduled implosion with 4,300 pounds of TNT, after 25 years of… https://t.co/n4ljXiLgcF"
221,@CNN,0.0258,11/26/2017,0.179,0.636,0.185,Maternal mortality is the shame of US health care (via @CNNOpinion) https://t.co/PTqIQmrNLk https://t.co/w4b0JYyTjv
222,@CNN,-0.128,11/26/2017,0.081,0.919,0.0,"Artificial light is contributing to an alarming rise in light pollution worldwide, affecting our ecosystem and slee… https://t.co/0StQnePeiW"
223,@CNN,0.3612,11/26/2017,0.0,0.889,0.111,"LaVar Ball on why he didn’t thank President Trump for bringing his son, LiAngelo Ball, home: “I would’ve said thank… https://t.co/9gf9A7u7lh"
224,@CNN,0.0,11/26/2017,0.0,1.0,0.0,"New portraits of Queen Elizabeth II and her husband, the Duke of Edinburgh Prince Philip, were released to celebrat… https://t.co/6lATp3kS2o"
225,@CNN,0.4549,11/26/2017,0.0,0.881,0.119,"LaVar Ball, father of UCLA player LiAngelo Ball, says he did more to help his son than President Trump: ""I helped m… https://t.co/qRmPM6RfGj"
226,@CNN,0.2732,11/26/2017,0.0,0.89,0.11,A surprise bidder has proposed to buy the Weinstein Co. and turn it into a studio run by women… https://t.co/2ERkSylEio
227,@CNN,0.4019,11/26/2017,0.0,0.876,0.124,"""If you help, you shouldn't have to say anything,"" says LaVar Ball, father of UCLA basketball player LiAngelo Ball,… https://t.co/32OmL0HN63"
228,@CNN,0.4019,11/26/2017,0.0,0.863,0.137,"Dozens of women who've worked on ""Saturday Night Live"" have signed a statement in support of Al Franken… https://t.co/FBMF9Wgw8y"
229,@CNN,-0.7906,11/26/2017,0.241,0.759,0.0,"""He fessed up to it. ... It was an impulse thing, a bad decision at a bad time, that's all it was for an 18-year-ol… https://t.co/99q74Lng7D"
230,@CNN,0.34,11/26/2017,0.0,0.888,0.112,"France has requested an ""urgent"" meeting of the UN Security Council concerning the sale of migrants at slave auctio… https://t.co/ihy8qNV7St"
231,@CNN,0.4019,11/26/2017,0.0,0.876,0.124,"LaVar Ball, the father of a basketball player freed from China, talks with @ChrisCuomo: ""I don't have to go around… https://t.co/t16b6Zg4ZL"
232,@CNN,0.0,11/26/2017,0.0,1.0,0.0,Here is a look at all the known contacts between Trump associates and Russians https://t.co/B0Z8lJRQp0 https://t.co/kKSWMYvur4
233,@CNN,0.0,11/26/2017,0.0,1.0,0.0,"""Get out of the way, bus!"" This cameraman was about to film Atlanta's planned implosion of the Georgia Dome, only t… https://t.co/J3Au8VmBuT"
234,@CNN,0.1134,11/26/2017,0.084,0.816,0.1,70% of Americans -- with majorities in both parties -- think that Puerto Rico is not getting the help it needs in t… https://t.co/O3HqHnA0Pi
235,@CNN,-0.128,11/26/2017,0.086,0.914,0.0,The Bureau of Prisons is cutting off funding for 16 halfway houses throughout the country https://t.co/YLGtKfQ2ES https://t.co/oBun0VkoJL
236,@CNN,0.0,11/26/2017,0.122,0.756,0.122,"Bottles from Trump Winery have been on sale at a gift shop in Shenandoah National Park, drawing criticism from ethi… https://t.co/oZ0il456dq"
237,@CNN,0.0,11/26/2017,0.0,1.0,0.0,This slow-motion drone footage shows the Georgia Dome in Atlanta being imploded https://t.co/AO2hbqCMOk https://t.co/0nlMTWzUaD
238,@CNN,-0.8225,11/26/2017,0.364,0.636,0.0,"A former ethics director says he filed an official complaint against Kellyanne Conway, arguing she violated the Hat… https://t.co/E52AGH7TZq"
239,@CNN,-0.7003,11/26/2017,0.254,0.746,0.0,"Florida boy wanted by police in connection with suspected death of his grandmother is caught near Canadian border,… https://t.co/WPGWpJdvPJ"
240,@CNN,0.1134,11/26/2017,0.09,0.801,0.108,70% of Americans — with majorities in both parties — think that Puerto Rico is not getting the help it needs in the… https://t.co/zSkODmjpiQ
241,@CNN,-0.4939,11/26/2017,0.231,0.769,0.0,A federal judge has permanently blocked President Trump’s executive order to cut funding from so-called “sanctuary… https://t.co/2PGGGrTikb
242,@CNN,0.0,11/26/2017,0.0,1.0,0.0,"Meet 'Oumuamua, a cigar-shaped asteroid that is the first observed interstellar visitor to our solar system… https://t.co/cOkDsbIGQM"
243,@CNN,-0.6597,11/26/2017,0.206,0.794,0.0,A paper claims a sugar-industry-funded study linked sugar to high blood cholesterol and cancer in rats. The study i… https://t.co/fbGEtNrX3Z
244,@CNN,-0.5574,11/26/2017,0.159,0.841,0.0,"Longtime actor Rance Howard, father of director Ron Howard, has died at age 89, Ron Howard said in a tweet… https://t.co/fAVXeLcASR"
245,@CNN,-0.6249,11/26/2017,0.222,0.72,0.058,"Puerto Rico says only 55 died from Hurricane Maria, but funeral homes claim the number should be nine times higher.… https://t.co/jO5qhYnCv6"
246,@CNN,-0.7351,11/26/2017,0.267,0.733,0.0,"Jacob Thompson, the boy who got thousands of early Christmas cards, has died after a long battle with cancer… https://t.co/BWP7syvPo6"
247,@CNN,-0.8316,11/25/2017,0.423,0.577,0.0,Charlie Rose was suspended by CBS after 8 women accused him of sexual harassment https://t.co/On8GbFcZwf https://t.co/B2CJneZOqu
248,@CNN,-0.4404,11/25/2017,0.139,0.861,0.0,An Atlanta baby has received a kidney transplant after the hospital first denied surgery due to his father's arrest… https://t.co/tsXsnVcPR3
249,@CNN,0.2732,11/25/2017,0.0,0.89,0.11,A surprise bidder has proposed to buy the Weinstein Co. and turn it into a studio run by women… https://t.co/84urrtHZI4
250,@CNN,0.0,11/25/2017,0.0,1.0,0.0,"Portraits of Queen Elizabeth II and her husband, the Duke of Edinburgh Prince Philip, have been released to celebra… https://t.co/c8Iis9w1Pp"
251,@CNN,-0.3818,11/25/2017,0.126,0.874,0.0,A Russian allegedly behind a massive hacking of social networks is at the center of an extradition fight between th… https://t.co/cEL3YScFRg
252,@CNN,0.5563,11/25/2017,0.0,0.826,0.174,"What's more impressive than tweeting, coming up with nicknames, and golfing — all while running a country? Dean Obe… https://t.co/fVGFLxeyVp"
253,@CNN,0.0,11/25/2017,0.0,1.0,0.0,US shoppers spent 17% more online on Black Friday this year than in 2016. In-store foot traffic dipped slightly.… https://t.co/4I6UTVtbOx
254,@CNN,0.0772,11/25/2017,0.0,0.939,0.061,Former Rep. Barney Frank has pushed back on the White House's assertion that President Trump has the authority to a… https://t.co/tNc3Ykzln8
255,@CNN,0.5423,11/25/2017,0.0,0.8,0.2,"""Instead of unifying and trying to calm the storm, [President Trump] is creating it."" NBA coach Steve Kerr discusse… https://t.co/tBgSF4WxDM"
256,@CNN,-0.0772,11/25/2017,0.064,0.936,0.0,"""Saying that we are sorry today is not enough,"" Canadian Prime Minister Justin Trudeau said to survivors of forced… https://t.co/93vUEe8iJ2"
257,@CNN,0.0,11/25/2017,0.0,1.0,0.0,"Portraits of Queen Elizabeth II and her husband, the Duke of Edinburgh Prince Philip, have been released to celebra… https://t.co/3rYCmNNzpi"
258,@CNN,0.0,11/25/2017,0.0,1.0,0.0,Tesla unveiled its new semi-truck and an all-new version of its Roadster sports car https://t.co/FYzssDqyHb https://t.co/1SV0QW1awR
259,@CNN,0.2732,11/25/2017,0.0,0.89,0.11,A new NASA tool can tell you which glacier may flood your city as the planet warms https://t.co/zoGLd2m8EZ https://t.co/VKJObGabn0
260,@CNN,0.0,11/25/2017,0.0,1.0,0.0,The degenerative brain disease CTE has been confirmed in a living NFL player for the first time… https://t.co/umPYIBsET1
261,@CNN,-0.5719,11/25/2017,0.209,0.791,0.0,This is why Wall Street and Republicans hate the Consumer Financial Protection Bureau https://t.co/zPGipbGx7C https://t.co/uQiriyvPvO
262,@CNN,0.0,11/25/2017,0.0,1.0,0.0,President Trump could be on track to triple former President Obama's time on the golf course in his first year in o… https://t.co/049u0S8xKz
263,@CNN,0.0516,11/25/2017,0.145,0.664,0.191,"Hate crimes in the United States have increased to a point not seen in recent history, according to a statistical r… https://t.co/j8X2TSAawZ"
264,@CNN,0.0,11/25/2017,0.0,1.0,0.0,"For the first time ever, Barbie will wear a hijab.

Mattel says the latest doll in its ""Shero"" collection will be m… https://t.co/fk3rNl51P6"
265,@CNN,0.0,11/25/2017,0.0,1.0,0.0,Pope Francis has a snazzy new Lamborghini (the Vatican plans to auction it off for charity) https://t.co/9CcqAv6xJp https://t.co/SXO5JoAyRA
266,@CNN,0.0,11/25/2017,0.0,1.0,0.0,Bill Gates has a new mission: To find a cure for Alzheimer's https://t.co/ayeLUV6YvL https://t.co/H9TSTBV5Ya
267,@CNN,-0.6597,11/25/2017,0.231,0.769,0.0,"More than 16,000 scientists have signed a dire warning to humanity advising that we need to fix our environmental p… https://t.co/wNX8bBkCS1"
268,@CNN,0.4019,11/25/2017,0.0,0.863,0.137,"Spicing up your diet may help you consume less salt and possibly less sugar, research shows https://t.co/MeyMJet1BC https://t.co/W3vso4MfeX"
269,@CNN,-0.5423,11/25/2017,0.226,0.774,0.0,How a mutual enemy is changing relations between Israel and Saudi Arabia https://t.co/dTnCgzQwWW https://t.co/DDS9T6Bxel
270,@CNN,-0.34,11/25/2017,0.138,0.862,0.0,Inside President Trump's obsession with being Time's 'Person of the Year' https://t.co/BCWzjP79VS | Analysis by CNN… https://t.co/ghT74w2rE5
271,@CNN,0.0,11/25/2017,0.0,1.0,0.0,Vaccines and aid workers arrive by plane in Yemen after blockade https://t.co/q1uHQYR1aW https://t.co/b3A8yCGTlr
272,@CNN,0.0,11/25/2017,0.0,1.0,0.0,"Foreign media outlets in Russia now are allowed to be listed as ""foreign agents"" https://t.co/bFVTj8fIrF https://t.co/eskKWawf9s"
273,@CNN,-0.0516,11/25/2017,0.091,0.909,0.0,A weekend at skiing's World Cup with the craziest fans in sport https://t.co/SIh6SU2n3n https://t.co/HXv13jwNdp
274,@CNN,0.0,11/25/2017,0.0,1.0,0.0,Lionel Messi re-signs with FC Barcelona through 2021 https://t.co/CwJl9DNPYf https://t.co/a6UDbNBqWX
275,@CNN,0.0,11/25/2017,0.0,1.0,0.0,NBA coach @SteveKerr sits down with CNN’s @DavidAxelrod to talk sports and politics. The #AxeFiles airs tonight at… https://t.co/h6PLT1mi9s
276,@CNN,-0.6808,11/25/2017,0.295,0.612,0.094,At least two people have died and hundreds have been injured as police try to clear massive protests in Pakistan… https://t.co/qDLlwMcM25
277,@CNN,-0.128,11/25/2017,0.134,0.753,0.113,Actress Emma Thompson has led a march in London to support a dual British-Iranian citizen who has been jailed in Ir… https://t.co/1EBWrdZiUI
